"Session","ID","x","y","start_date","end_date","Effort","camera_type","lure_01","habitat","terrain"
1,35,514196.371069018,4073381.6493356,"29/09/2011","09/10/2011",11,"reconyx","no","scrub","draw"
1,36,515428.450942184,4070904.23489487,"05/11/2011","15/11/2011",11,"reconyx","no","scrub","draw"
1,37,520337.479475046,4070047.48882903,"28/09/2011","08/10/2011",11,"reconyx","yes","scrub","draw"
1,38,519329.273171667,4069602.41411894,"28/09/2011","08/10/2011",11,"reconyx","yes","barren","cliffbase"
1,39,526193.57621527,4075171.59767557,"20/10/2011","31/10/2011",12,"reconyx","no","pasture","ridge"
1,40,526712.994870705,4072578.35990891,"20/10/2011","31/10/2011",12,"reconyx","yes","barren","ridge"
1,41,523671.373744765,4069922.91434403,"06/11/2011","16/11/2011",11,"reconyx","yes","pasture","ridge"
1,42,530041.489471629,4073636.68544981,"17/10/2011","27/10/2011",11,"reconyx","yes","barren","ridge"
1,43,529259.848952592,4073064.90159413,"17/10/2011","27/10/2011",11,"reconyx","yes","pasture","ridge"
1,44,527194.08560185,4072003.54415865,"06/11/2011","16/11/2011",11,"reconyx","yes","scrub","draw"
1,45,535788.284695485,4075240.61911535,"17/10/2011","27/10/2011",11,"reconyx","yes","barren","ridge"
1,46,537286.224026898,4069888.40340118,"02/10/2011","13/10/2011",12,"reconyx","no","barren","draw"
1,47,537702.864698904,4071022.74055667,"02/10/2011","13/10/2011",12,"reconyx","yes","barren","ridge"
1,48,499625.553100506,4065270.77431837,"03/11/2011","13/11/2011",11,"reconyx","no","pasture","draw"
1,49,499770.563080731,4065347.78473132,"03/11/2011","13/11/2011",11,"reconyx","yes","scrub","draw"
1,50,509962.290730686,4068463.28275602,"29/09/2011","09/10/2011",11,"reconyx","yes","pasture","ridge"
1,51,510740.480133347,4068163.91637377,"29/09/2011","09/10/2011",11,"reconyx","yes","scrub","valley"
1,52,508335.47084841,4064088.1812812,"03/11/2011","13/11/2011",11,"reconyx","no","pasture","saddle"
1,53,515460.249191287,4067651.01560369,"26/09/2011","06/10/2011",11,"reconyx","yes","scrub","ridge"
1,54,513331.92651995,4066059.2030021,"26/09/2011","06/10/2011",11,"reconyx","yes","pasture","ridge"
1,55,520150.051367517,4068717.14935905,"28/09/2011","08/10/2011",11,"reconyx","no","scrub","ridge"
1,56,518927.431479233,4066644.44535676,"28/09/2011","08/10/2011",11,"reconyx","yes","pasture","ridge"
1,57,521292.586300487,4069396.93276134,"06/11/2011","16/11/2011",11,"reconyx","no","pasture","draw"
1,58,525306.363528606,4069364.2037574,"01/10/2011","11/10/2011",11,"reconyx","no","forest","draw"
1,59,526866.770618307,4067062.05963897,"01/10/2011","11/10/2011",11,"reconyx","yes","pasture","draw"
1,60,528980.226451772,4067414.01050341,"30/09/2011","12/10/2011",13,"reconyx","yes","scrub","ridge"
1,61,530005.056789256,4066520.21670948,"30/09/2011","12/10/2011",13,"reconyx","yes","pasture","cliffbase"
1,62,529187.944121848,4066728.19214621,"06/11/2011","16/11/2011",11,"reconyx","yes","pasture","draw"
1,63,534671.309175596,4066441.49546848,"01/10/2011","12/10/2011",12,"reconyx","no","pasture","ridge"
1,64,533373.749689147,4066900.59786534,"01/10/2011","12/10/2011",12,"reconyx","yes","pasture","ridge"
1,65,539943.101977759,4067168.14262686,"13/10/2011","23/10/2011",11,"reconyx","yes","pasture","draw"
1,66,538135.686782784,4067089.21647757,"13/10/2011","23/10/2011",11,"reconyx","no","pasture","cliffbase"
1,67,545897.178406098,4067423.83331547,"07/10/2011","19/10/2011",13,"reconyx","yes","barren","ridge"
1,68,547241.061819039,4067129.81362506,"07/10/2011","19/10/2011",13,"reconyx","yes","barren","draw"
1,69,548518.691542222,4068264.83624486,"07/10/2011","19/10/2011",13,"reconyx","yes","pasture","plateau"
1,70,548933.970275206,4067499.39116101,"07/10/2011","19/10/2011",13,"reconyx","no","pasture","plateau"
1,71,501346.263517278,4059530.64622366,"03/11/2011","12/11/2011",10,"reconyx","yes","pasture","ridge"
1,72,500269.818663119,4061114.69024968,"03/11/2011","13/11/2011",11,"reconyx","yes","scrub","draw"
1,73,500651.727702703,4059628.89871571,"04/11/2011","14/11/2011",11,"reconyx","yes","pasture","ridge"
1,74,504600.986946651,4061641.38174036,"02/11/2011","13/11/2011",12,"reconyx","yes","scrub","ridge"
1,75,504439.225048197,4061794.43063741,"02/11/2011","13/11/2011",12,"reconyx","yes","pasture","ridge"
1,76,506413.720870323,4063218.27345372,"03/11/2011","13/11/2011",11,"reconyx","no","pasture","ridge"
1,77,510471.097475446,4060589.38406129,"01/11/2011","12/11/2011",12,"reconyx","yes","pasture","ridge"
1,78,511616.755306548,4061443.78807899,"01/11/2011","12/11/2011",12,"reconyx","no","barren","ridge"
1,79,507113.509218486,4062215.15715846,"03/11/2011","13/11/2011",11,"reconyx","yes","pasture","draw"
1,80,511665.427948695,4060088.85427841,"02/11/2011","12/11/2011",11,"reconyx","yes","scrub","cliffbase"
1,81,518345.565145439,4064215.7382373,"28/09/2011","08/10/2011",11,"reconyx","no","pasture","ridge"
1,82,527396.826474896,4063413.7956213,"01/10/2011","11/10/2011",11,"reconyx","yes","pasture","draw"
1,83,536645.935459358,4064289.38414069,"02/10/2011","13/10/2011",12,"reconyx","yes","scrub","draw"
1,84,537446.745168059,4065897.73368345,"13/10/2011","23/10/2011",11,"reconyx","yes","pasture","ridge"
1,85,537462.419488515,4064139.67315266,"02/10/2011","13/10/2011",12,"reconyx","no","pasture","ridge"
1,86,541394.824482995,4063393.66897169,"20/10/2011","31/10/2011",12,"reconyx","yes","pasture","ridge"
1,87,543333.598459969,4063408.64269928,"20/10/2011","31/10/2011",12,"reconyx","yes","pasture","draw"
1,88,543623.697528798,4060610.13618779,"20/10/2011","31/10/2011",12,"reconyx","yes","pasture","draw"
1,89,545147.996221576,4059434.30267644,"20/10/2011","31/10/2011",12,"reconyx","yes","pasture","ridge"
1,90,544634.195900546,4059039.41391586,"20/10/2011","31/10/2011",12,"reconyx","no","pasture","draw"
1,91,496385.71598313,4054304.27689963,"04/11/2011","14/11/2011",11,"reconyx","yes","forest","draw"
1,92,497527.942450079,4055938.44040955,"04/11/2011","14/11/2011",11,"reconyx","yes","pasture","cliffbase"
1,93,496822.568244523,4056013.95776865,"04/11/2011","14/11/2011",11,"reconyx","yes","pasture","ridge"
1,94,498515.133155934,4055691.01679599,"04/11/2011","14/11/2011",11,"reconyx","yes","scrub","ridge"
1,95,499188.356784976,4058863.15828234,"04/11/2011","14/11/2011",11,"reconyx","no","scrub","ridge"
1,96,495522.934538533,4053569.79527378,"04/11/2011","14/11/2011",11,"reconyx","no","pasture","ridge"
2,192,491395.573012816,3995052.850963,"09/03/2016","29/04/2016",51,"reconyx","yes","pasture","cliffbase"
2,193,490359.730968754,3993115.17736579,"10/03/2016","30/04/2016",51,"reconyx","yes","barren","cliffbase"
2,194,490087.145820378,3994750.96803697,"10/03/2016","30/04/2016",49,"reconyx","yes","pasture","ridge"
2,195,491311.22187831,3996141.0290078,"10/03/2016","30/04/2016",51,"reconyx","yes","pasture","cliffbase"
2,196,499348.66660465,3991522.38074721,"09/03/2016","29/04/2016",51,"reconyx","yes","barren","draw"
2,197,500751.687186521,3990889.01753257,"09/03/2016","29/04/2016",51,"reconyx","yes","barren","ridge"
2,198,502161.739448414,3990473.20642698,"09/03/2016","29/04/2016",51,"reconyx","yes","forest","valley"
2,199,502034.031633687,3988886.0611935,"09/03/2016","29/04/2016",51,"reconyx","yes","pasture","cliffbase"
2,200,497680.525616435,3995154.17156256,"09/03/2016","29/04/2016",37,"reconyx","yes","pasture","ridge"
2,201,498606.543553688,3994691.71165433,"09/03/2016","29/04/2016",51,"reconyx","yes","pasture","ridge"
2,202,498224.887372869,3992501.24114271,"10/03/2016","29/04/2016",49,"reconyx","yes","pasture","ridge"
2,203,493890.655451951,3997079.89663556,"10/03/2016","29/04/2016",50,"reconyx","yes","pasture","cliffbase"
2,204,522624.400654497,3990968.89276951,"04/03/2016","06/05/2016",63,"reconyx","yes","barren","ridge"
2,205,520650.378884404,3990876.10585115,"04/03/2016","06/05/2016",63,"reconyx","yes","barren","ridge"
2,206,520541.81288246,3992545.32624923,"04/03/2016","06/05/2016",63,"reconyx","yes","barren","ridge"
2,207,519565.446829574,3991910.7635659,"04/03/2016","03/05/2016",33,"reconyx","yes","forest","ridge"
2,208,518371.505161386,3992179.22353344,"04/03/2016","03/05/2016",60,"reconyx","yes","pasture","ridge"
2,209,517081.645070213,3992218.1806309,"04/03/2016","03/05/2016",60,"reconyx","yes","pasture","ridge"
2,210,516725.618692761,3992619.41660761,"04/03/2016","03/05/2016",60,"reconyx","yes","barren","cliffbase"
2,211,517005.931811046,3989379.05532839,"04/03/2016","03/05/2016",60,"reconyx","yes","pasture","cliffbase"
2,212,514692.547057027,3989738.30698389,"04/03/2016","03/05/2016",60,"reconyx","yes","pasture","ridge"
2,213,513182.77977923,3990024.99534084,"04/03/2016","03/05/2016",60,"reconyx","yes","pasture","cliffbase"
2,214,509604.005376161,3993597.01493457,"05/03/2016","05/05/2016",21,"reconyx","yes","pasture","ridge"
2,215,510210.00155485,3992607.56219192,"05/03/2016","05/05/2016",25,"reconyx","yes","barren","cliffbase"
2,216,507586.460274947,3994954.20149034,"05/03/2016","04/05/2016",61,"reconyx","yes","pasture","ridge"
2,217,505911.883276911,3995215.97779196,"05/03/2016","05/05/2016",61,"reconyx","yes","pasture","ridge"
2,218,509593.504595858,3995214.52249206,"05/03/2016","07/05/2016",63,"reconyx","yes","barren","ridge"
2,219,524085.344047913,3990990.71064223,"03/03/2016","04/05/2016",64,"reconyx","yes","pasture","cliffbase"
2,220,524416.007596303,3994009.94184741,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","draw"
2,221,522868.391660213,3995302.67660279,"03/03/2016","04/05/2016",16,"reconyx","yes","pasture","ridge"
2,222,525751.731587414,3992452.25711724,"03/03/2016","04/05/2016",29,"reconyx","yes","pasture","draw"
2,223,525149.482456536,3990974.67987338,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","ridge"
2,224,531193.41196401,3988527.78299962,"03/03/2016","04/05/2016",62,"reconyx","yes","barren","draw"
2,225,529789.126985545,3987969.76063446,"03/03/2016","04/05/2016",62,"reconyx","yes","barren","cliffbase"
2,226,529341.98116928,3987060.58250016,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","ridge"
2,227,528416.0606597,3987125.66764477,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","cliffbase"
2,228,531495.752727368,3987255.37329943,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","cliffbase"
2,229,532255.271789731,3987139.17469971,"03/03/2016","04/05/2016",62,"reconyx","yes","pasture","ridge"
3,437,549248.888158845,3946953.02666878,"20/05/2017","11/07/2017",54,"reconyx","yes","pasture","ridge"
3,438,550032.71513989,3948101.73320027,"21/05/2017","11/07/2017",54,"reconyx","yes","pasture","ridge"
3,439,543851.445846694,3950527.52322757,"21/05/2017","12/07/2017",54,"reconyx","yes","barren","ridge"
3,440,544587.967225385,3952056.84100918,"21/05/2017","12/07/2017",54,"reconyx","yes","scrub","ridge"
3,441,551576.130441559,3953388.63131799,"23/05/2017","13/07/2017",53,"reconyx","yes","scrub","cliffbase"
3,442,552657.961971926,3953285.72894464,"23/05/2017","13/07/2017",53,"reconyx","yes","pasture","cliffbase"
3,443,551282.868417703,3950373.11152769,"23/05/2017","12/07/2017",52,"reconyx","yes","barren","ridge"
3,444,549897.30102221,3948100.20624101,"23/05/2017","12/07/2017",52,"reconyx","yes","forest","cliffbase"
3,445,548322.834626408,3962496.20105763,"25/05/2017","16/07/2017",54,"reconyx","yes","forest","ridge"
3,446,551546.64837437,3959045.52571691,"25/05/2017","16/07/2017",54,"reconyx","yes","pasture","cliffbase"
3,447,548228.319772459,3967820.14338331,"25/05/2017","16/07/2017",54,"reconyx","yes","scrub","ridge"
3,448,551805.966817108,3967132.75167153,"26/05/2017","17/07/2017",54,"reconyx","yes","pasture","cliffbase"
3,449,553412.424126843,3966543.06049362,"26/05/2017","17/07/2017",54,"reconyx","yes","pasture","ridge"
3,450,551394.862662824,3970094.89158309,"26/05/2017","17/07/2017",54,"reconyx","yes","scrub","ridge"
3,451,550595.164603304,3966449.97411253,"26/05/2017","17/07/2017",54,"reconyx","yes","barren","valley"
3,452,551219.522485526,3969204.83220147,"26/05/2017","17/07/2017",54,"reconyx","yes","pasture","draw"
3,453,544165.520603174,3943015.83802565,"28/05/2017","19/07/2017",54,"reconyx","yes","forest","ridge"
3,454,549267.488592598,3955578.76945554,"28/05/2017","13/07/2017",48,"reconyx","yes","scrub","cliffbase"
3,455,545119.400784243,3942329.12860101,"28/05/2017","19/07/2017",54,"reconyx","yes","pasture","ridge"
3,456,547467.60882636,3946820.70988384,"28/05/2017","12/07/2017",46,"reconyx","yes","scrub","cliffbase"
3,457,552427.943732132,3934535.44704869,"29/05/2017","19/07/2017",53,"reconyx","yes","forest","ridge"
3,458,551401.557944365,3934944.44274331,"29/05/2017","19/07/2017",53,"reconyx","yes","forest","cliffbase"
3,459,552882.230751564,3932179.78895049,"30/05/2017","19/07/2017",52,"reconyx","yes","forest","ridge"
3,460,556036.661877213,3929424.48732814,"30/05/2017","19/07/2017",52,"reconyx","yes","pasture","cliffbase"
3,461,561395.246316965,3919509.95487301,"30/05/2017","19/07/2017",52,"reconyx","yes","pasture","cliffbase"
3,462,558783.165492175,3919661.1958367,"30/05/2017","19/07/2017",52,"reconyx","yes","forest","ridge"
3,463,557292.267153644,3928051.27247514,"30/05/2017","19/07/2017",52,"reconyx","yes","pasture","cliffbase"
3,464,565100.343262472,3916146.16620153,"30/05/2017","19/07/2017",52,"reconyx","yes","forest","ridge"
3,465,565240.784714675,3915404.88954794,"30/05/2017","19/07/2017",52,"reconyx","yes","forest","cliffbase"
3,466,553635.591938894,3931456.78721852,"30/05/2017","19/07/2017",52,"reconyx","yes","scrub","ridge"
4,467,493686.824940787,4049034.72517735,"11/04/2018","26/06/2018",77,"reconyx","yes","barren","cliffbase"
4,468,495434.322262985,4047330.43107786,"11/04/2018","26/06/2018",77,"reconyx","yes","pasture","cliffbase"
4,469,493842.200599257,4046212.53035506,"11/04/2018","26/06/2018",77,"reconyx","yes","pasture","valley"
4,470,495351.487332367,4040946.18679259,"12/04/2018","26/06/2018",76,"reconyx","yes","scrub","ridge"
4,471,490702.421314179,4038927.86938471,"25/04/2018","26/06/2018",63,"reconyx","yes","forest","cliffbase"
4,472,496845.607742338,4038425.46116999,"12/04/2018","26/06/2018",30,"reconyx","yes","barren","cliffbase"
4,473,483923.645561404,4035513.73773613,"16/04/2018","30/06/2018",76,"reconyx","yes","forest","cliffbase"
4,474,487008.646219458,4035718.18420942,"16/04/2018","30/06/2018",69,"reconyx","yes","scrub","cliffbase"
4,475,492979.162113111,4038547.35088734,"25/04/2018","26/06/2018",63,"reconyx","yes","pasture","ridge"
4,476,495616.448793864,4032643.23900268,"12/04/2018","26/06/2018",76,"reconyx","yes","barren","cliffbase"
4,477,515627.270368889,4030525.52438435,"15/04/2018","26/06/2018",73,"reconyx","yes","pasture","ridge"
4,478,484379.069698123,4034606.41412406,"16/04/2018","30/06/2018",40,"reconyx","yes","scrub","draw"
4,479,493345.083928047,4031280.55830098,"15/04/2018","29/06/2018",43,"reconyx","yes","scrub","cliffbase"
4,480,499117.322691335,4028437.93972523,"15/04/2018","29/06/2018",76,"reconyx","yes","barren","cliffbase"
4,481,500119.741776393,4028847.40379789,"14/04/2018","01/07/2018",79,"reconyx","yes","pasture","ridge"
4,482,514838.606542556,4027206.91340433,"16/04/2018","27/06/2018",73,"reconyx","yes","pasture","valley"
4,483,498943.799848596,4020408.1213821,"26/04/2018","27/06/2018",41,"reconyx","yes","pasture","ridge"
4,484,496842.144471333,4021407.09598701,"14/04/2018","27/06/2018",75,"reconyx","yes","pasture","draw"
4,485,501174.450158045,4023541.54030281,"16/04/2018","27/06/2018",73,"reconyx","yes","pasture","cliffbase"
4,486,503752.568829666,4021897.3795706,"15/04/2018","27/06/2018",74,"reconyx","yes","pasture","cliffbase"
4,487,497437.37457578,4017415.16468293,"14/04/2018","27/06/2018",13,"reconyx","yes","scrub","cliffbase"
4,488,498978.242514847,4013560.85665985,"18/04/2018","29/06/2018",73,"reconyx","yes","pasture","ridge"
4,489,501528.585591774,4013445.76772645,"17/04/2018","28/06/2018",73,"reconyx","yes","barren","draw"
4,490,475399.044755879,4012477.12371524,"23/04/2018","01/07/2018",70,"reconyx","yes","scrub","ridge"
4,491,502986.581333602,4009511.05473184,"17/04/2018","28/06/2018",73,"reconyx","yes","pasture","cliffbase"
4,492,488001.452355423,4008856.10752702,"20/04/2018","01/07/2018",73,"reconyx","yes","forest","cliffbase"
4,493,489616.83398641,4007389.85043159,"26/04/2018","01/07/2018",67,"reconyx","yes","barren","plateau"
4,494,496020.862136852,3999646.82634355,"24/04/2018","28/06/2018",64,"reconyx","yes","pasture","valley"
4,495,491226.466135875,4002446.32426235,"22/04/2018","27/06/2018",67,"reconyx","yes","scrub","cliffbase"
4,496,496724.609332243,3997815.35742394,"19/04/2018","30/06/2018",23,"reconyx","yes","scrub","ridge"
4,497,500151.135088056,3997048.76939233,"22/04/2018","28/06/2018",68,"reconyx","yes","pasture","valley"
4,498,505846.503771295,3996154.67639023,"23/04/2018","28/06/2018",67,"reconyx","yes","pasture","ridge"
4,499,510032.95289363,3995566.74722838,"23/04/2018","28/06/2018",67,"reconyx","yes","pasture","saddle"
4,500,491320.248305319,3995589.13390849,"21/04/2018","27/06/2018",68,"reconyx","yes","pasture","valley"
4,501,498062.37425196,3994281.5203418,"21/04/2018","27/06/2018",40,"reconyx","yes","scrub","valley"
4,502,499144.799489919,3991421.64914711,"20/04/2018","27/06/2018",60,"reconyx","yes","scrub","ridge"
4,503,510399.370361384,3990889.19116682,"19/04/2018","28/06/2018",71,"reconyx","yes","pasture","cliffbase"
4,504,518604.435124649,3991643.55480577,"22/04/2018","30/06/2018",56,"reconyx","yes","pasture","cliffbase"
4,505,522253.786439146,3989895.72963794,"22/04/2018","01/07/2018",71,"reconyx","yes","pasture","draw"
4,506,524045.573629226,3991219.37398525,"22/04/2018","30/06/2018",24,"reconyx","yes","pasture","draw"
4,507,530896.326941258,3989781.63444325,"21/04/2018","30/06/2018",49,"reconyx","yes","pasture","draw"
4,508,502129.902724046,3989737.40855881,"20/04/2018","27/06/2018",69,"reconyx","yes","forest","draw"
4,509,527760.534406951,3987530.67148238,"21/04/2018","30/06/2018",71,"reconyx","yes","pasture","draw"
4,510,528806.412467903,3987551.11086679,"21/04/2018","30/06/2018",14,"reconyx","yes","pasture","draw"
5,758,220451.70987034,3956153.61632915,"09/12/2011","18/01/2012",40,"reconyx","yes","scrub","draw"
5,759,218422.723019618,3956323.07334926,"09/12/2011","18/01/2012",41,"reconyx","yes","scrub","ridge"
5,760,211389.428127119,3990901.63826952,"10/12/2011","19/01/2012",41,"reconyx","yes","pasture","ridge"
5,761,218043.789278323,3982420.83013045,"10/12/2011","19/01/2012",40,"reconyx","yes","pasture","ridge"
5,762,212730.575578002,3989570.06640135,"10/12/2011","19/01/2012",40,"reconyx","yes","pasture","draw"
5,763,217755.91753972,3982865.92212155,"10/12/2011","19/01/2012",40,"reconyx","yes","scrub","ridge"
5,764,200348.22082294,3974427.75494139,"11/12/2011","20/01/2012",40,"reconyx","yes","pasture","cliffbase"
5,765,200684.614977467,3975013.69281121,"11/12/2011","20/01/2012",41,"reconyx","yes","scrub","cliffbase"
5,766,203692.829630201,3980098.75861323,"11/12/2011","20/01/2012",40,"reconyx","yes","scrub","ridge"
5,767,239493.57752515,3971311.34933573,"12/12/2011","21/01/2012",40,"reconyx","yes","pasture","cliffbase"
5,768,240308.308525987,3971232.69043384,"12/12/2011","21/01/2012",41,"reconyx","yes","pasture","draw"
5,769,234938.698564921,3970852.69069661,"12/12/2011","21/01/2012",41,"reconyx","yes","pasture","draw"
5,770,235241.14474084,3972363.34992258,"12/12/2011","21/01/2012",41,"reconyx","yes","pasture","ridge"
5,771,227085.752366085,3975400.25260286,"13/12/2011","22/01/2012",41,"reconyx","yes","pasture","ridge"
5,772,226501.483664983,3975123.3639757,"13/12/2011","22/01/2012",40,"reconyx","yes","pasture","ridge"
5,773,219736.959602471,3964614.29433398,"14/12/2011","23/01/2012",40,"reconyx","yes","forest","valley"
5,774,218106.903018603,3967804.44968636,"14/12/2011","24/01/2012",40,"reconyx","yes","forest","ridge"
5,775,215456.666839217,3966300.41955116,"14/12/2011","24/01/2012",41,"reconyx","yes","forest","ridge"
5,776,218498.528567968,3964788.14342808,"15/12/2011","22/01/2012",39,"reconyx","yes","forest","draw"
5,777,215037.201383196,3966273.4779934,"15/12/2011","24/01/2012",40,"reconyx","yes","forest","ridge"
5,778,225248.2427799,3964149.75529831,"15/12/2011","26/01/2012",42,"reconyx","yes","forest","ridge"
5,779,225510.764653928,3963597.50787998,"15/12/2011","26/01/2012",42,"reconyx","yes","forest","cliffbase"
